"model","checkpoint","pipeline","dataset","protocol","shots","seed","accuracy","macro_f1"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","10","12","63.6","61.5"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","10","13","62.5","60"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","10","14","63.6","61.4"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","10","15","61.9","59.6"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","10","16","65.4","63.8"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","10","17","63.7","60.5"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","10","18","64.5","62"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","10","19","63.5","61.7"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","20","0","72.7","70.8"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","20","1","72.3","70.2"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","20","2","70.6","68.5"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","20","3","74.5","72.4"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","20","4","70","68.3"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","20","5","73.4","71.7"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","20","6","71.8","69.1"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","20","7","72.8","70.9"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","20","8","72.2","70.6"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","20","9","72.9","71.4"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","20","10","71","69.5"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","20","11","71.5","69.5"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","20","12","73","71.6"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","20","13","72.1","70.8"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","20","14","71.8","69.5"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","20","15","73.4","70.9"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","20","16","73.5","71"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","20","17","72.6","70.8"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","20","18","71.3","69.2"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","20","19","71.7","70.3"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","40","0","75.7","74.7"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","40","1","79","77.9"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","40","2","77.4","75.5"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","40","3","77.1","75"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","40","4","77.4","75.7"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","40","5","79.5","77.8"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","40","6","77.2","76.1"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","40","7","77.4","76"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","40","8","77.1","75.7"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","40","9","76.3","74.9"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","40","10","79.1","77.7"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","40","11","75.7","74.4"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","40","12","77.9","76.5"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","linear","40","13","78.2","77"
