"model","checkpoint","pipeline","dataset","protocol","shots","seed","accuracy","macro_f1"
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","20","12","55.2",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","20","13","54.5",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","20","14","54.3",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","20","15","57.1",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","20","16","55.9",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","20","17","56.7",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","20","18","55.1",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","20","19","52",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","40","0","60.4",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","40","1","61.3",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","40","2","62.2",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","40","3","63.1",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","40","4","59.5",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","40","5","63.2",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","40","6","61.7",""
