"model","checkpoint","pipeline","dataset","protocol","shots","seed","accuracy","macro_f1"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","10","9","46.3","43.6"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","10","10","47.3","43.4"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","10","11","52.3","48.8"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","10","12","49.4","46.8"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","10","13","44","38.6"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","10","14","47.9","43.8"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","10","15","44.6","38.2"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","10","16","53.9","49.9"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","10","17","49.2","45.3"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","10","18","41.9","38.8"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","10","19","46.5","43.1"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","20","0","55.2","52"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","20","1","59","55.5"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","20","2","56","52.7"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","20","3","57.5","54.9"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","20","4","53.9","50.5"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","20","5","55.6","52.5"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","20","6","57.1","54.2"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","20","7","53.5","48"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","20","8","57.4","54.6"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","20","9","57","53.4"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","20","10","53.4","47.6"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","20","11","59.3","55.9"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","20","12","58","54.6"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","20","13","57.2","53.4"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","20","14","56","52.6"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","20","15","55","49.7"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","20","16","58","53.3"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","20","17","55.7","50.8"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","20","18","53.6","49"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","20","19","56.9","54.1"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","40","0","64","60.9"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","40","1","66.4","64.5"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","40","2","65.2","62.1"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","40","3","65.7","63.3"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","40","4","64.3","60.8"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","40","5","66.4","63.9"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","40","6","66.6","64.8"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","40","7","62","59.1"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","40","8","63.1","60.5"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","40","9","63.6","61.5"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","40","10","66.2","62.7"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","40","11","62.5","60.4"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","40","12","66.6","64.3"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","40","13","64.9","61.9"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","40","14","65.7","63"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","40","15","64.5","61.1"
